Name,Urgency,Importance,Impact,ROI,Due Date,Days Till Due,Est. effort,Goal Alignment,Consequence,Status,Type
ruwaad project,0.6000000000000001,0.96,1.0,0.62,2025-09-13,3.0,0.3,1.0,0.8,not started,leadership
cozy dairy,1.0,0.718,0.7,0.9544277707983996,2025-09-10,0.0,0.08,1.0,0.5,not started,relationship
